Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
1,Petroleum Engineering,Bachelors,"$98,100","$212,100",60%
2,Operations Research & Industrial Engineering,Bachelors,"$101,200","$202,600",21%
3,Electrical Engineering & Computer Science (EECS),Bachelors,"$128,500","$192,300",45%
4,Interaction Design,Bachelors,"$77,400","$178,800",55%
5,Building Science,Bachelors,"$71,100","$172,400",46%
6,Applied Economics and Management,Bachelors,"$81,200","$169,300",47%
7,Actuarial Mathematics,Bachelors,"$71,200","$167,500",48%
8,Optical Science & Engineering,Bachelors,"$81,500","$166,400",73%
9,Quantitative Economics,Bachelors,"$78,400","$165,100",43%
10,Operations Research,Bachelors,"$94,900","$164,900",56%
11,Systems Engineering,Bachelors,"$89,700","$163,800",57%
12,Information & Computer Science,Bachelors,"$73,200","$162,900",65%
13,Public Accounting,Bachelors,"$71,500","$162,200",47%
14,Cognitive Science,Bachelors,"$80,300","$162,100",43%
15,Aeronautics & Astronautics,Bachelors,"$89,800","$161,600",60%
16,Aerospace Studies,Bachelors,"$64,500","$158,400",-
17,Pharmacy,Bachelors,"$71,500","$158,000",80%
18,Managerial Economics,Bachelors,"$78,200","$157,800",38%
19,Foreign Affairs,Bachelors,"$65,200","$157,700",32%
20,Political Economy,Bachelors,"$75,800","$156,700",30%
21,Chemical Engineering,Bachelors,"$87,700","$156,100",54%
21,Marine Transportation Management,Bachelors,"$78,500","$156,100",-
23,Computer Science (CS) & Engineering,Bachelors,"$93,500","$154,100",44%
24,Corporate Accounting & Finance,Bachelors,"$79,100","$154,000",-
25,Computer Engineering (CE),Bachelors,"$92,000","$153,800",46%
